title,location,summary,salary
newProduct Manager - Trains,"Gurgaon, Haryana","Ixigo services Indian travellers and their travel utility, planning and booking problems using technology and artificial intelligence.",NA
Artificial Intelligence Analyst,"Delhi, Delhi","We bring efficiency to governance operations through intelligence and strategic thinking.
Most often, they use AI principles to address persistent business pain…",NA
Associate-Artificial Intelligence Innovation,"Gurgaon, Haryana","Years of Experience: 1-3 years.
You will be required to utilize the existing frameworks, standards, patterns to create architectural foundation and services…",NA
newFull Stack Developer,"Delhi, Delhi","Our developers share a passion for rapid prototyping, making things work in challenging environments, and seeing the impact of our work first-hand.","₹29,76,273 a year"
Data Analyst,"New Delhi, Delhi",_ _Our smart applications and systems are designed for real-time data monitoring recording analysis and decision-making aided by artificial intelligence to…,"₹25,000 a month"
newCustomer Support Engineer,"Delhi, Delhi+1 location","Serve as the first point of contact for the Customers.
Timely response to incoming customer support inquiries via email and support ticketing system.","₹4,00,000 - ₹7,00,000 a year"
AI/ML Engineer,"Gurgaon, Haryana","If you also have knowledge of data science and software engineering, we’d like to meet you.
Study and transform data science prototypes.","₹10,00,000 - ₹20,00,000 a year"
Artificial Intelligence Engineer,"Bengaluru, Karnataka","Experience and Strong Understanding of Computer Vision and Image Processing is a Must.
Hands On Experience On Medical Image Analysis is An Added Advantage.","₹8,00,000 - ₹10,00,000 a year"
newPython Developer,"Delhi, Delhi","A good understanding of machine learning and artificial intelligence algorithms.
Work on a cross-functional team to build easy to understand solutions.","₹13,12,266 a year"
Business Analyst,"Temporarily Remote in Delhi, Delhi","The Business Analyst is responsible for defining a functional solution to a domain-specific problem.
This role will work in collaboration with external folks,…",NA
Computer Vision Engineer,"New Delhi, Delhi","Good programming skills in Python/C++.
Experienced in open source computer vision library OpenCV for Video/Image Processing.
Computer vision: 1 year (Required).","₹25,000 - ₹50,000 a month"
Artificial Intelligence Developer,"Remote in Bengaluru, Karnataka","Writing a little project plan.
Familiar with natural language processing.
Good programming skills in python and Java Seq2Seq would be a plus.",NA
"R&D Engineer, I","Noida, Uttar Pradesh+2 locations","Responsible for designing, developing, troubleshooting, or debugging software programs.
Develops software tools including operating systems, compilers, routers,…",NA
newData Annotator (Third Party payroll),"Gurgaon, Haryana","Ixigo services Indian travellers and their travel utility, planning and booking problems using technology and artificial intelligence.",NA
ARTIFICIAL INTELLIGENCE (AI) PROFESSIONALS,"Delhi, Delhi",The Institute is keen to recruit candidates with proven track record from reputed Research Institutes/ Organisations having keen interest in Research &…,NA
Artificial Intelligence Analyst,"Delhi, Delhi","We bring efficiency to governance operations through intelligence and strategic thinking.
Most often, they use AI principles to address persistent business pain…",NA
newArtificial intelligence security specialist (Junior),"Hyderabad, Telangana+1 location",An artificial intelligence (AI) specialist applies their skills in engineering and computer science to create machines and software programs that can think for…,NA
Artificial Intelligence Developer,"Udaipur, Rajasthan",Udaipur RSS Feed we are looking for Artificial Intelligence Developer for udaipur rajasthan location- salary - no bar Experience 4 - 8 Years Salary 5 Lac…,"₹5,00,000 - ₹13,00,000 a year"
Artificial Intelligence Analyst Internship,"Delhi, Delhi","We bring efficiency to governance operations through intelligence and strategic thinking.
Artificial Intelligence Analyst Internships in Delhi at CryptoMize -…",NA
newArtificial Intelligence & Machine Learning,"Gurgaon, Haryana","Job Purpose– As an Associate Data Scientist, Working on artificial intelligence(AI) projects, you’ll be responsible for creating programs and algorithms that…",NA
Artificial Intelligence and Machine Learning Support,"Pune, Maharashtra","Provide vision and strategy to enhance AI/ML and Big-Data Platform.
We are seeking hardworking, experienced Engineer on LINUX, Docker, Big-Data skills to setup…",NA
newJava Development Experts,"Noida, Uttar Pradesh","Coding skills in Java and, database design and SQL. problem solving skills,.
Be able to write quality code in an object oriented language and development…",NA
Application Architect: Business Intelligence,"Gurgaon, Haryana+1 location","Information Architecture should include databases (relational, hierarchical and object-oriented), file systems and storage management, as well as document…",NA
newSenior Practitioner - Telecom Networking,"Noida, Uttar Pradesh","To think along with clients and sell.
As Senior Practitioner – In Telecommunication, you are responsible for Design/circuit systems, Internet Provider and ASR …",NA
Intern AI for Cybersecurity,"Pune, Maharashtra","Working with a team of engineers and architects, you will be responsible for conducting research on leveraging AI/ML for existing and new products, prototyping,…",NA
Customer Engineer - Data and AI,"Delhi, Delhi+1 location",Data Platform Customer Engineers (CEs) are deep technical advisors supporting Enterprise customers to deliver unique value by removing blockers to consumption…,NA
newJunior App Developer,"Delhi, Delhi","Someone who can take ownership of applications, solve technical challenges and take pride in their solutions and code.
Proficiency in Java and Kotlin.","₹7,00,000 - ₹12,00,000 a year"
Data Scientist,"Gurgaon H O, Haryana","This role will be accountable for end to end ownership(build, deploy, monitor, enhance) across the modeling lifecycle using various machine learning/AI based…",NA
Artificial Intelligence Specialist Internship,"Delhi, Delhi","We bring efficiency to governance operations through intelligence and strategic thinking.
Ability to develop innovative approaches and technical analysis…",NA
newAssociate-Augmented Insights,"Gurgaon, Haryana","Years of Experience: 1-3 years.
You will be required to utilize the existing frameworks, standards, patterns to create architectural foundation and services…",NA
Senior Artificial Intelligence Researcher,Remote in Orissa,"Ocean Infinity is seeking a full-time Artificial Intelligence Researcher.
The main function of this position is to conceptualize, prototype and iterate cutting…",NA
newBusiness Intelligence Engineer,"Mumbai, Maharashtra","We provide artificial intelligence-based products/platforms capable of automated cognitive decision making to improve productivity, quality, and economics of…",NA
ML Developer with Open CV,"Noida, Uttar Pradesh","Candidates must have experience in developing Machine learning, Text extraction, Image processing.
In-depth knowledge of machine learning, text extraction and…",NA
ML Developer with Open CV,"Noida, Uttar Pradesh","Candidates must have experience in developing Machine learning, Text extraction, Image processing.
In-depth knowledge of machine learning, text extraction and…",NA
Data Science- Internship (Remote),"Remote in Gurgaon, Haryana","Through its industry-focused programs, INSAID aims to arm working professionals not only with skill sets like machine learning, data science but provide them a…","₹15,000 a month"
newSoftware Engineer,"Bengaluru, Karnataka+2 locations","Software Developers at IBM are the backbone of our strategic initiatives to design, code, test, and provide industry-leading solutions that make the world run…",NA
Machine Learning Engineer,"Delhi, Delhi","If you also have knowledge of data science and software engineering, we’d like to meet you.
Study and transform data science prototypes.","₹7,15,000 - ₹7,95,000 a year"
Back Office Executive(Data Verifier)- Walk in - Noida,"Noida, Uttar Pradesh","Using our skilled on-demand workforce, we partner with Machine Learning, Artificial Intelligence, Technology and eCommerce clients to develop high-quality data…","₹12,000 - ₹14,000 a month"
Team Lead/Consultant-Data Visualization,"Gurgaon, Haryana+2 locations",You will be working as a part of the data-driven Data Visualization team which is primarily responsible for leveraging visualization tools to create informative…,NA
newPHP Developer,"Temporarily Remote in Delhi, Delhi+1 location","In this light, we provide unique learning experiences through our web-based platforms, computer and mobile applications enabled with Artificial intelligence and…","₹8,00,000 - ₹15,00,000 a year"
newNetwork Engineer-R&S,"New Delhi, Delhi","Your clients' success depends on your ability to understand their needs and respond to requests for new services.
Monitor network performance and integrity.",NA
Artificial Intelligence Researcher Internship,"Delhi, Delhi","We bring efficiency to governance operations through intelligence and strategic thinking.
Artificial Intelligence Researcher internship in Delhi at CryptoMize -…",NA
